2016	1	215146.4241	50	4.42
2016	2	156112.3228	49	4.55
2016	3	180600.3285	55	3.87
2016	4	167144.0512	43	4.09
2016	5	205270.0091	51	4.39
2016	6	210562.1245	45	4.42
2016	7	199556.8089	50	4.22
2016	8	225657.3767	63	3.98
2016	9	273091.6097	67	4.19
2016	10	212078.0805	64	3.97
2016	11	182329.4124	43	4.21
2016	12	199829.9792	55	4.16
2017	1	285616.484	50	4.58
2017	2	312923.747	57	4.61
2017	3	308911.9018	67	4.42
2017	4	227290.9131	57	4.35
2017	5	268233.2379	57	4.23
2017	6	378865.6535	63	4.7
2017	7	229995.3979	52	4.79
2017	8	290553.4554	65	4.42
2017	9	293405.2561	53	4.47
2017	10	310328.309	65	4.55
2017	11	281577.9019	55	4.38
2017	12	259505.9849	47	4.6
2018	1	381430.0993	52	4.63
2018	2	200658.0615	35	4.57
2018	3	363990.9935	68	4.26
2018	4	817921.8604	125	4.64
2018	6	188.991	1	1
2018	7	11337.9002	4	2.75
2018	8	8377.8147	2	4.5
2018	9	8963.9647	1	4
2018	10	3781.1284	1	8
2018	11	11362.0071	2	4
2018	12	6516.9667	1	4
