Baldwin Bikes	2016	1	132894.2968	1
Baldwin Bikes	2016	2	102201.9071	1
Baldwin Bikes	2016	3	110338.7916	1
Baldwin Bikes	2016	4	120491.9842	1
Baldwin Bikes	2016	5	150679.6523	1
Baldwin Bikes	2016	6	139021.3866	1
Baldwin Bikes	2016	7	167320.8731	1
Baldwin Bikes	2016	8	142994.2888	1
Baldwin Bikes	2016	9	164368.6516	1
Baldwin Bikes	2016	10	129251.7324	1
Baldwin Bikes	2016	11	95705.8019	1
Baldwin Bikes	2016	12	135329.5141	1
Baldwin Bikes	2017	1	217406.649	1
Baldwin Bikes	2017	2	197814.7258	1
Baldwin Bikes	2017	3	219582.6878	1
Baldwin Bikes	2017	4	161639.9347	1
Baldwin Bikes	2017	5	201407.9959	1
Baldwin Bikes	2017	6	250491.8029	1
Baldwin Bikes	2017	7	171303.2829	1
Baldwin Bikes	2017	8	193430.8581	1
Baldwin Bikes	2017	9	203956.7509	1
Baldwin Bikes	2017	10	256674.0375	1
Baldwin Bikes	2017	11	209155.0894	1
Baldwin Bikes	2017	12	196824.581	1
Baldwin Bikes	2018	1	262508.3779	1
Baldwin Bikes	2018	2	139945.0584	1
Baldwin Bikes	2018	3	282956.9115	1
Baldwin Bikes	2018	4	437264.9112	1
Baldwin Bikes	2018	6	188.991	1
Rowlett Bikes	2018	7	9380.9287	1
Baldwin Bikes	2018	8	8377.8147	1
Baldwin Bikes	2018	9	8963.9647	1
Santa Cruz Bikes	2018	10	3781.1284	1
Rowlett Bikes	2018	11	6104.0354	1
Rowlett Bikes	2018	12	6516.9667	1
